Document_Segment,Segment
1-s2.0-S0167880913003502-main.pdf.tei_41,"For example, materials with high C:N, characteristic of cereal [crop] residues, reduce the available N in the soil due to N immobilization and could result in lower [crop] production, while residues with high N contents and low C:N ratios, as is the case with many legume residues and legume cover crops, increase soil N availability and possibly [crop] production .'}, {'ref': [{'@type': 'bibr', '@target': '#b42', '#text': '(Erenstein, 2002)'}, {'@type': 'bibr', '@target': '#b103', '#text': '(Magnan et al., 2012;'}, {'@type': 'bibr', '@target': '#b172', '#text': 'Valbuena et al., 2012;'}, {'@type': 'bibr', '@target': '#b169', '#text': 'Tittonel et al., 2007)'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Ghimire et al., 2012)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Giller et al., 2009)'}], '#text': 'The amount of [crop] residue retained after harvest, either on the soil surface or incorporated, is a key component to CA performance"
1-s2.0-S030438781000043X-mainext.pdf.tei_7,"Solanke\'s father Olulo had taken the farm from [forest] during the Makun war of 1862-64, and had worked it until his death shortly after the Ibadan-Oshielle war of 1877, when Solanke inherited it"
1-s2.0-S0264837715302131-main.pdf.tei_46,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types"
1-s2.0-S0301479717300713-main.pdf.tei_258,"He has no power, beyond his salary -that\'s it … P5 (no driver): If government earmark this land as a [forest] reserve, nobody would go in"
1-s2.0-S095937809800003X-main.pdf.tei_16,Climatic variations influence farmers' immediate as well as long-term choice of [cultivation] patterns
1-s2.0-S0264837715302131-main.pdf.tei_38,"Cover loss refers to [land cover] that was subjected to a change with a concomitant loss in a regressive manner (for example, from [forest] to [savanna] or from woodland to farmland)"
1-s2.0-S0304387816300670-main.pdf.tei_105,"Next, we report the effects of dropping controls for initial [urbanization] and log distance to the coast in columns 5-7"
1-s2.0-S0301479717300713-main.pdf.tei_31,The expert interviews were used to collect expert opinion on the relevant driving forces of [LULCC] and subsequently developed a questionnaire addressing the relevance of the most prominent driving forces
1-s2.0-S0301479717300713-main.pdf.tei_255,I doubt that this is for [agricultural land]
1-s2.0-S0140196313000608-main.pdf.tei_32,"Despite the often mentioned ""cash [crop] revolution"", the so-called ""Peanut Basin"" of Senegal and the ""New [cotton] basin"" in Mali provide telling illustrations of partial intensification paths and farmers\' possible soil mining"
1-s2.0-S0168192311001122-main.pdf.tei_71,"Mean [maize] yields are decreasing in [land use ]scenario L1, L2 and L3 by 16, 24 and 18%, respectively (Fig"
1-s2.0-S0169204617300270-main.pdf.tei_88,"These change rates together with the decreasing average SU size (Table ) indicate that [urban] expansion was mainly based on smaller SUs, thus indicating informal [urban] sprawl.'}, {'ref': {'@type': 'figure', '@target': '#fig_4', '#text': '5'}, '#text': 'The histogram of the SU sizes in the two study areas (Fig"
1-s2.0-S030438781000043X-mainext.pdf.tei_4,"I find that land tenure affects incentives to leave land [fallow] and to plant trees, but has a weaker impact on labor and input use"
1-s2.0-S003442571730041X-main.pdf.tei_37,"The land use/ cover has been recorded repetitively over the years along transects as cropland, [fallow], or uncultivable rangeland"
1-s2.0-S0304387816300670-main.pdf.tei_66,"We leave the description of the night lights data to Section 6.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.1.', '#text': '[Urbanization]'}, 'p': ['Scarcity of demographic and economic data hampers empirical research on climate effects in Africa"
1-s2.0-S0140196313000608-main.pdf.tei_101,"trees on agricultural fields, use of more inputs, and construction of anti-[erosion] barriers on sloped fields to prevent [erosion]) .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '6.', '#text': 'Discussion and conclusions'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b46', '#text': '(Messerli et al., 2009;'}, {'@type': 'bibr', '@target': '#b72', '#text': 'Rudel, 2008)'}, {'@type': 'bibr', '@target': '#b46', '#text': '(Messerli et al., 2009)'}, {'@type': 'bibr', '@target': '#b72', '#text': '(Rudel, 2008)'}], '#text': 'This study, based on a meta-analysis of local case studies, has been useful in making qualitative assessments of published documentation of [crop] land changes in the Sahel"
1-s2.0-S0169204617300270-main.pdf.tei_109,"Therefore, infrastructural development (excluding [roads]) has a very low confidence level as a driver for [urban] development in both study areas.'}, {'ref': [{'@type': 'bibr', '@target': '#b1', '#text': 'Agyemang, 2010;'}, {'@type': 'bibr', '@target': '#b73', '#text': 'Owusu, 2009;'}, {'@type': 'bibr'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Rocha, 2012)'}], '#text': 'Even though it was not mentioned by the experts, sand, stone and gold mining form an additional driving force of [urban] development"
1-s2.0-S0167880913003502-main.pdf.tei_15,"Intensification can disrupt many of the regulating and supporting ES, including nutrient cycling, climate regulation, regulation of [water] quality and quantity, pollination services, and pest control (Fig"
1-s2.0-S0301479717300713-main.pdf.tei_253,"You need money to pump [water], you need money to cultivate the land, and you need money to buy chemicals and fertilizers"
1-s2.0-S0304387816300670-main.pdf.tei_124,Decreased moisture is then likely to decrease local [city] income
1-s2.0-S0140196314000536-main.pdf.tei_53,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and [shrubs] have become rare or disappeared (Fig"
1-s2.0-S003442571730041X-main.pdf.tei_14,"As current classification schemes of the [land cover] class 'cropland' encompass fallowed fields in both time and space for the Sahel, there is a need to determine the impact of [fallow] fields on the NDVI signal and related trends.""}, {'ref': [{'@type': 'bibr', '@target': '#b55', '#text': '(Vintrou et al., 2012)'}, {'@type': 'bibr', '@target': '#b38', '#text': '(Lambert et al., 2016)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Alcantara et al., 2012)'}, {'@type': 'bibr', '#text': '(Brandt et al., 2016)'}, {'@type': 'bibr', '@target': '#b15', '#text': '(Diouf et al., 2015)'}], '#text': 'From the Earth Observation (EO) perspective, a successful differentiation between cropped and fallowed fields is required to improve our understanding of the mechanisms and drivers of observed NDVI trends in relation to changes in the spatio-temporal patterns of [crop]-[fallow] rotation due to cropping expansion/abandonment"
1-s2.0-S0006320709005400-main.pdf.tei_12,"The tight coupling between people and these [forest] ecosystems inevitably means that biodiversity is threatened by habitat loss, degradation and fragmentation"
1-s2.0-S0264837701000205-main.pdf.tei_4,with the spatial structure and extent of various [land use ]categories related to the human utilisation of land
1-s2.0-S0140196313000608-main.pdf.tei_56,"Drivers of change in [crop] land included demographic, economic, agro-technical, institutional, and climatic drivers (Table ).'}, {'ref': {'@type': 'table', '#text': '2'}, '#text': 'Some of the drivers initially identified were never mentioned in the case studies and were therefore removed from the analysis"
1-s2.0-S0169204617300270-main.pdf.tei_6,The remote sensing analysis revealed that [urban] development was stronger in  than in 
1-s2.0-S0304387816300670-main.pdf.tei_85,However these factors ( ) X ij could also affect the impact of climate changes on [urban] share growth rates
1-s2.0-S0140196314000536-main.pdf.tei_38,The MODIS mean [seasonal] amplitude exposes these green productive belts around the villages indicating active fields with a dense woody vegetation (see Fig
1-s2.0-S095937809800003X-main.pdf.tei_50,"Thus, the coherence between spatially related socio-economic characteristics of the households, agricultural strategies and pastoral strategies at the household level and the [land use ]patterns can be investigated.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Results of the [land use ]analysis', 'p': [{'ref': {'@type': 'figure', '@target': '#fig_9', '#text': '3c'}, '#text': 'Farmers in Yomboli distinguish between four main landscape units: the dune, the pediplain, the piedmont and the border of the mare"
1-s2.0-S003442571730041X-main.pdf.tei_79,"Linear trends are shown for cropped fields, fallowed fields, annual NDVI, and rainfall sum.', 'graphic': {'@coords': '9,34.24,53.18,518.02,347.47', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': None, 'label': None, 'figDesc': None, 'graphic': {'@coords': '8,130.79,53.18,342.71,347.02', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Selected SPOT and Landsat imageries.', 'table': {'row': [{'cell': ['Mission', 'Acquired date', 'Resolution']}, {'cell': ['Landsat 5', '2000.09.24', '30 m']}, {'cell': ['Landsat 5', '2001.09.11', '30 m']}, {'cell': ['SPOT 4', '2002.09.28', '20 m']}, {'cell': ['SPOT 4', '2003.09.26', '20 m']}, {'cell': ['SPOT 5', '2004.09.28', '10 m']}, {'cell': ['SPOT 4', '2005.09.28', '20 m']}, {'cell': ['SPOT 4', '2006.09.23', '20 m']}, {'cell': ['SPOT 4', '2007.09.27', '20 m']}, {'cell': ['SPOT 5', '2008.11.20', '10 m']}, {'cell': ['SPOT 4', '2009.09.08', '20 m']}, {'cell': ['SPOT 5', '2010.09.21', '10 m']}, {'cell': ['SPOT 5', '2012.09.08', '10 m']}, {'cell': ['Landsat 8', '2013.10.06', '30 m']}, {'cell': ['Landsat 8', '2014.09.23', '30 m']}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_1', 'head': 'Table 2', 'label': '2', 'figDesc': 'Satellite-derived [seasonal] NDVI metrics used in this study.', 'table': {'row': [{'cell': ['Variable', 'Definition', 'Reported unit']}, {'cell': ['Amplitude', 'Difference between maximum and base', 'NDVI unit']}, {'cell': [None, 'value', None]}, {'cell': ['Base value', 'Mean of minimum NDVI values before sos', 'NDVI unit']}, {'cell': [None, 'and after eos', None]}, {'cell': ['End of season', 'Ending point of the growing season (45% of', 'Day of year']}, {'cell': ['(eos)', 'amplitude)', None]}, {'cell': ['Length of', 'Number of days from sos to eos', 'Number of days']}, {'cell': ['season', None, None]}, {'cell': ['Maximum', 'Highest value of a year', 'NDVI unit']}, {'cell': ['value', None, None]}, {'cell': [{'@cols': '2', '#text': 'Right derivative Rate of decrease at the end of the season'}, 'NDVI unit/time']}, {'cell': [None, None, 'unit -3']}, {'cell': ['Small integral', {'@cols': '2', '#text': 'Integral from sos to eos but above base value NDVI unit'}]}, {'cell': ['Start of season', 'Starting point of the growing season (20% of', 'Day of year']}, {'cell': ['(sos)', 'amplitude)', None]}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_2', 'head': 'Table 3', 'label': '3', 'figDesc': 'Standardized coefficients of linear regression analysis(2000)(2001)(2002)(2003)(2004)(2005)(2006)(2007)(2008)(2009)(2010)(2011)(2012)(2013)(2014).', 'table': {'row': {'cell': ['Variables', 'Cropped fields', 'Fallowed fields', 'NDVI metrics']}}, 'note': {'p': '⁎ Significant at p b 0.05.'}}]
      note: {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@xml:id': 'foot_0', 'p': 'X"
1-s2.0-S003442571730041X-main.pdf.tei_9,"Still at present, little scientific empirical evidence for the link between NDVI trends and cropland changes is provided for drylands in general, and for the Sahel region in particular.""}, {'ref': [{'@type': 'bibr', '@target': '#b53', '#text': '(van Vliet et al., 2013)'}, {'@type': 'bibr', '@target': '#b4', '#text': '(Bégué et al., 2011;'}, {'@type': 'bibr', '@target': '#b43', '#text': 'Nutini et al., 2013)'}, {'@type': 'bibr', '@target': '#b13', '#text': '(De Rouw and Rajot, 2004)'}], '#text': ""Several local scale studies showed a general increase in cropped areas since the 1950s  and in recent years, a few studies have indicated that cropland has a higher annual NDVI than [savanna] in Sahelian areas, supporting a possible link between cropland expansion/ cropping intensification and the observed positive trends in NDVI "
1-s2.0-S0168192311001122-main.pdf.tei_40,"Depending on the average [fallow]-cropland ratio, a sub-basin is classified into one of the seven classes (Table ), where [fallow]-cropland ratio and hence [fallow] availability is decreasing from class 1 to 7.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': 'Simulation of [crop] yields'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Bryant et al., 1992;'}, {'@type': 'bibr', '@target': '#b46', '#text': 'Parsons et al., 1995)'}, {'@type': 'bibr', '#text': '(Gaiser et al., 2010a)'}], '#text': 'EPIC is a field-scale model that is designed to simulate drainage areas which are characterized by homogeneous weather, soil, landscape, [crop] rotation, and management system parameters "
1-s2.0-S0140196313000608-main.pdf.tei_63,"Wilks' lambda test is used to test whether there are significant differences between the increase, decrease, or stability in [crop] land extent based on the drivers of change.""}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.3.', '#text': 'Qualitative comparative analysis of the impacts of [crop] land change'}, 'p': {'ref': {'@type': 'bibr', '@target': '#b58', '#text': '(Ragin, 2000)'}, '#text': 'Because of the low number of case studies describing the impacts of [crop] land change, it was not possible to compute any multivariate analysis to test whether the impacts were significantly different between cases that showed an increase, decrease, or stability of [crop] land"
1-s2.0-S030438781000043X-mainext.pdf.tei_34," describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce"
1-s2.0-S0169204617300270-main.pdf.tei_55,"The [city] has been declared as a free trade zone and an industrial core region in order to attract foreign investment, thus aiming to accelerate the rate of economic growth and pushing Ghana's decentralisation "
1-s2.0-S0140196322000143-main.pdf.tei_56,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.4.', '#text': 'Trends of woody vegetation over two decades'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4a,'}, {'@type': 'figure', '#text': 'c'}, {'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4b,'}, {'@type': 'figure', '#text': 'd'}], '#text': 'Plant density decreases regardless of [land use ]type or topographic position (Fig"
1-s2.0-S0169204617300270-main.pdf.tei_124,"For the Bolgatanga area, PPPs were not mentioned by the experts and were proposed by literature only for agricultural areas.'}, 'Another opportunity for the Takoradi area is the building of multi-storey structures for residences in order to efficiently utilise the limited space in the [city] centre (reflecting medium confidence)"
1-s2.0-S0301479717300713-main.pdf.tei_103,"However, some authors from the literature review showed a diverging picture of poverty as a driver of [LULCC].'}, {'ref': [{'@type': 'bibr', '@target': '#b8', '#text': '(Antwi-Agyei et al., 2016;'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al., 2010;'}, {'@type': 'bibr', '@target': '#b67', '#text': 'Nielsen and Reenberg, 2010;'}, {'@type': 'bibr', '@target': '#b68', '#text': 'Nyantakyi-Frimpong and Bezner-Kerr, 2015)'}, {'@type': 'bibr', '@target': '#b52', '#text': '(Lambin et al., 2003)'}], '#text': 'With high confidence, rainfall variability is a driving force of [LULCC]"
